Day,Month,Year,Hour,Min,Sec,mode,Time,BBBV,BBBVs,style,cell0,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,Lcl,Rcl,Dcl,Leff,Reff,Deff,Openings,Islands,Path,GZiNi,HZiNi
5,7,2013,20,7,50,BEG,6.53,17,2.60,NF,18,21,7,8,0,0,0,0,0,31,0,0,28,0,0,4,5,903,13,14
5,7,2013,20,8,20,BEG,3.32,15,4.51,Flag,23,21,4,5,1,0,0,0,0,7,2,3,6,2,3,1,3,540,10,10
5,7,2013,20,8,50,BEG,5.62,20,3.55,Flag,20,15,11,7,1,0,0,0,0,21,1,1,20,1,1,2,2,691,15,17
5,7,2013,20,9,8,BEG,4.82,17,3.52,Flag,19,18,17,0,0,0,0,0,0,16,2,3,15,2,2,2,3,668,15,16
5,7,2013,20,9,51,BEG,7.53,22,2.92,Flag,18,21,9,5,1,0,0,0,0,16,3,3,15,3,3,2,1,667,15,17
5,7,2013,20,10,0,BEG,3.23,11,3.40,NF,21,17,10,4,2,0,0,0,0,16,0,0,14,0,0,2,3,416,9,10
5,7,2013,20,10,9,BEG,5.75,14,2.43,Flag,12,27,15,0,0,0,0,0,0,20,2,3,19,2,3,4,7,917,14,14
5,7,2013,20,10,27,BEG,4.84,15,3.09,Flag,17,26,7,3,1,0,0,0,0,10,2,7,9,2,5,2,3,658,13,13
5,7,2013,20,10,32,BEG,3.10,11,3.54,NF,26,10,10,2,4,2,0,0,0,15,0,0,13,0,0,2,3,356,11,11
5,7,2013,20,10,51,BEG,4.89,15,3.06,Flag,19,17,13,4,1,0,0,0,0,17,1,3,16,1,1,2,3,603,13,15
5,7,2013,20,11,27,BEG,3.96,14,3.53,NF,20,17,12,4,1,0,0,0,0,20,0,0,19,0,0,3,1,509,12,14
5,7,2013,20,12,0,BEG,4.01,14,3.49,NF,23,17,11,2,1,0,0,0,0,18,0,0,17,0,0,3,2,590,10,13
5,7,2013,20,12,9,BEG,6.26,18,2.87,Flag,11,30,10,3,0,0,0,0,0,15,4,7,13,4,6,4,5,849,16,17
5,7,2013,20,12,16,BEG,6.32,21,3.32,Flag,12,26,12,4,0,0,0,0,0,21,3,3,20,3,3,4,5,889,18,19
5,7,2013,20,12,24,BEG,6.29,20,3.17,Flag,16,27,7,4,0,0,0,0,0,16,2,3,15,2,3,2,6,633,16,17
5,7,2013,20,12,35,BEG,4.82,14,2.90,NF,18,22,10,4,0,0,0,0,0,25,0,0,21,0,0,3,3,635,13,14
5,7,2013,20,12,56,BEG,3.62,15,4.14,NF,18,23,10,2,1,0,0,0,0,18,0,0,17,0,0,2,3,427,12,13
5,7,2013,20,13,13,BEG,4.89,18,3.68,NF,13,24,12,4,1,0,0,0,0,24,0,0,22,0,0,2,4,669,17,18
